Sample,time,power,scale
1X 2,1.0683,10804851.3076,2.45
1X 2,1.1043,6479106.9711,1.5
1X 2,1.2083,5301469.97,1.55
1X 2,1.2643,5553210.4237,2.9
1X 2,1.3083,1311005.9666,2.65
1X 2,1.3683,4076693.4414,1.65
1X 2,1.4123000000000001,9912748.493,2.25
1X 2,1.4763,1781111.4549,1.55
1X 2,1.5323,2312091.7845,3
1X 2,1.5963,973040.4247,2.95
1X 2,1.6483,7554656.0616,1.8
1X 2,1.6883,1031661.1958,1.5
1X 2,1.7363,6536972.9256,1.55
1X 2,1.7923,259726.2582,1.55
1X 2,1.8283,971800.9325,1.85
1X 2,1.8683,650851.607,1.6
1X 2,1.9323,2354965.8357,2.3
1X 2,1.9723,1230675.1231,1.55
1X 2,2.0163,9253502.6952,3
1X 2,2.0763,933671.5687,2.3
1X 2,2.1043,1011670.9095,1.55
1X 2,2.1403,28675282.8652,3
1X 2,2.2083,5698911.1885,1.6
1X 2,2.2683,2410081.5149,1.5
1X 2,2.3203,2711032.0178,1.5
1X 2,2.3683,1964367.6171,2.45
1X 2,2.4123,1476352.0432,2.3
1X 2,2.4483,5318996.5618,1.75
1X 2,2.4883,1783484.6301,1.5
1X 2,2.5523,4474131.1867,2.3
1X 2,2.6003,10406748.1121,1.95
1X 2,2.6483,4262716.8273,1.6
1X 2,2.7043,3815238.7401,1.55
1X 2,2.7603,5754619.3325,3
1X 2,2.8483,4296188.5093,1.85
1X 2,2.8963,2168920.8827,3
1X 2,2.9403,2347914.3611,1.55
1X 3,0.6403,883720.2637,1.6
1X 3,0.7083,551853.0383,1.6
1X 3,0.8483,417876.9356,2.1
1X 3,0.8963,3845508.2943,2.95
1X 3,0.9323,133812.5295,1.6
1X 3,0.9883,1374112.1619,1.5
1X 3,1.0283,901254.3883,1.5
1X 3,1.0643,1105461.0467,2.3
1X 3,1.1043,1590735.9204,1.65
1X 3,1.2203,1783820.7362,1.8
1X 3,1.2563,1956359.4869,2.05
1X 3,1.3083,1898367.6344,3
1X 3,1.3603,2322242.9071,2.95
1X 3,1.4243,2974963.5159,1.85
1X 3,1.4563,1150823.0634,3
1X 3,1.5163,4022976.4593,2.95
1X 3,1.5723,3534487.3577,1.55
1X 3,1.6163,101231.4424,1.5
1X 3,1.6523,1297235.0957,2.1
1X 3,1.7003,6720081.8738,2.85
1X 3,1.7563,4504716.5819,2.95
1X 3,1.8163,4895480.4211,2.2
1X 3,1.8483,4962526.0357,1.6
1X 3,1.9083,1715090.3588,1.55
1X 3,1.9563,1249575.8535,3
1X 3,2.0243,22783544.4441,2.95
1X 3,2.0723,1925211.9795,1.65
1X 3,2.1043,53888.8886,1.55
1X 3,2.1403,26743148.2043,3
1X 3,2.2043,2524199.5486,1.75
1X 3,2.2563,5641095.2524,2.95
1X 3,2.3083,2656658.9223,2.95
1X 3,2.3563,2184390.2576,2.65
1X 3,2.3923,4362535.8363,2.2
1X 3,2.4483,1008704.2586,1.55
1X 3,2.4923,45807.3773,1.5
1X 3,2.5363,4330287.4972,1.5
1X 3,2.5843,2535586.6144,1.65
1X 3,2.6323,11526337.1567,2.65
1X 3,2.6963,446109.5416,2.3
1X 3,2.7323,8254570.9017,1.9
1X 3,2.7843,1529476.4793,1.6
1X 3,2.8163,404962.2551,1.5
1X 3,2.8563,767722.3794,2.95
1X 3,2.8803,2343112.8514,1.5
1X 3,2.9563,2565222.0539,1.5
2X 1,0.6563,764478.257,2.7
2X 1,0.6883,116116.1475,1.55
2X 1,0.7683,522120.52,2.95
2X 1,0.8483,63977.3556,1.95
2X 1,0.9283,37128.0367,2.35
2X 1,0.9603,68944.5736,1.55
2X 1,1.0363,998102.1054,1.5
2X 1,1.0763,2714353.0849,1.5
2X 1,1.1283,980070.4386,1.7
2X 1,1.2363,6099190.1856,1.7
2X 1,1.2683,567153.0905,3
2X 1,1.3043,5810374.9403,1.7
2X 1,1.3403,1777893.0416,2.15
2X 1,1.3803,1204080.0269,2.25
2X 1,1.4323,1189298.3355,3
2X 1,1.4923,3642257.2939,1.75
2X 1,1.5443,653683.5979,2.95
2X 1,1.6123,4337885.1804,3
2X 1,1.6563,407415.2043,1.95
2X 1,1.6883,1105376.7048,2.7
2X 1,1.7323,1489557.3344,2.8
2X 1,1.7643,2667774.4124,1.55
2X 1,1.8123,1457220.5656,2.15
2X 1,1.8683,2574544.2465,1.6
2X 1,1.9283,1361452.0078,2.6
2X 1,1.9603,1952208.9525,2.5
2X 1,1.9963,1329599.9146,2.2
2X 1,2.0403,3609883.3443,1.55
2X 1,2.0843,1171366.6281,1.55
2X 1,2.1323,12302651.1309,3
2X 1,2.1683,606983.8666,1.55
2X 1,2.2123,2330490.8493,1.5
2X 1,2.2763,7660259.7031,3
2X 1,2.3363,1257414.6139,1.9
2X 1,2.3883,5270194.6189,1.85
2X 1,2.4163,1068984.5705,3
2X 1,2.4723,6153933.4352,3
2X 1,2.5523,16258365.6615,3
2X 1,2.6203,2036597.5201,1.55
2X 1,2.6763,10336107.8958,1.55
2X 1,2.7363,8554036.0804,2.95
2X 1,2.7763,727902.2025,2.1
2X 1,2.8203,8075494.666,1.55
2X 1,2.8803,4027760.1419,2.2
2X 1,2.9083,1172038.0611,2.25
2X 1,2.9403,6458572.4381,2.25
2X 1,2.9803,1061133.1505,2.35
2X 2,0.6243,1055807.2029,1.9
2X 2,0.6603,384550.1244,2.3
2X 2,0.7283,45735.7184,2.15
2X 2,0.7683,263603.1827,2.95
2X 2,0.8243,318901.6162,3
2X 2,0.8923,1715326.5004,2.1
2X 2,0.9323,162311.1842,2.25
2X 2,1.0123,864363.9484,1.9
2X 2,1.0683,2686624.7393,2.35
2X 2,1.1163,1005868.1084,2.35
2X 2,1.2323,11014618.061,1.55
2X 2,1.3283,7506958.5844,1.65
2X 2,1.3723,4939194.5139,2.65
2X 2,1.4243,3435697.9283,3
2X 2,1.4723,2896498.7105,1.55
2X 2,1.5283,4555290.8018,1.55
2X 2,1.5843,845835.3869,1.8
2X 2,1.6163,5344626.4714,2.7
2X 2,1.6603,4319703.9559,1.65
2X 2,1.7243,9460968.579,2
2X 2,1.7603,5387818.0945,1.6
2X 2,1.7923,1115525.4915,2.2
2X 2,1.8283,5893668.8466,2.6
2X 2,1.8643,969279.9875,1.9
2X 2,1.8963,7160884.2334,2.55
2X 2,1.9483,3872142.5572,2.25
2X 2,1.9883,704235.0512,1.5
2X 2,2.0323,3490013.9508,3
2X 2,2.1043,597499.4101,1.55
2X 2,2.1443,17138467.3873,3
2X 2,2.1923,511231.4547,1.5
2X 2,2.2283,10692644.5925,1.8
2X 2,2.2603,9792182.6845,2.65
2X 2,2.2963,2594175.0941,2.3
2X 2,2.3883,11266721.3863,1.7
